doc,page,fn,nu,a0,a,b0,b,k,time,fun
IMSLP02023-Beethoven-op.111-cotta,0,ks,-0.02328303136289393,0.030698977609367396,0.8666593660444901,0.12654973046584972,1.1002995149818366,0.7405381224823262,39.567027,42.15237625538623
IMSLP02023-Beethoven-op.111-cotta,0,m,-0.009244034387122475,0.11642302221673595,0.8103210985183842,0.07220448511964533,4.848397395584911,1.360352475143507,39.330366,41.83720970468601
IMSLP02023-Beethoven-op.111-cotta,1,ks,-0.01413652892944835,0.0691874454747434,2.5823269533969553,0.11625748880971923,2.880702217925248,0.5332597353662387,40.242661,32.53583511151622
IMSLP02023-Beethoven-op.111-cotta,1,m,-0.012987624420050664,0.07734976876831576,2.3153757883632036,0.10256040334098579,2.768748079908441,0.9450910500516776,39.416532,32.47091195116676
IMSLP02023-Beethoven-op.111-cotta,2,ks,-0.005869062613047224,0.08890355313566667,1.2181120232064147,0.031305218460304235,2.7409909383858935,2.072290361779193,39.478037,44.612251959010685
IMSLP02023-Beethoven-op.111-cotta,2,m,-0.006477280920988003,0.09668694608911099,0.7168543386700228,0.07464916083023965,2.208824868720802,0.18191901730491356,37.644841,14.281976320602812
IMSLP02023-Beethoven-op.111-cotta,3,ks,-0.008727430270328814,0.15011182376303228,2.38582437859335,0.09476976470923437,3.1774858066928218,1.032101780108956,38.264631,32.13353612486258
IMSLP02023-Beethoven-op.111-cotta,3,m,-0.003922778205392055,0.029608448559610298,1.9469619655946602,0.03861681106894785,3.9308885794591815,0.38914811895546997,41.295783,12.468347473563727
IMSLP02023-Beethoven-op.111-cotta,4,ks,0.000334753778310385,0.0374949449927482,0.7325674852747899,0.04993320410232856,3.037771368519648,0.07996746591407389,39.309263,13.466016181644243
IMSLP02023-Beethoven-op.111-cotta,4,m,-0.00609691321766374,0.05359582678164633,3.197093064708716,0.1344900361373996,2.7049037170241004,1.0642852909189355,37.570456,32.589649549830455
IMSLP02023-Beethoven-op.111-cotta,5,ks,-0.008081820894411732,0.0637956034340595,4.512555399572619,0.07582439695758222,1.9696768444140584,0.8674424471949391,39.469818,32.07051954878342
IMSLP02023-Beethoven-op.111-cotta,5,m,-0.022688476525235392,0.02159312434217288,2.7944192434167974,0.061696740737481645,1.0852719447470205,0.4093701245071746,39.924635,12.739218080294059
IMSLP02023-Beethoven-op.111-cotta,6,ks,0.00044582677311753903,0.04873788582593719,2.023585108099288,0.05471239287018226,4.028028348010217,0.4929105124373353,39.297991,13.052238152603302
IMSLP02023-Beethoven-op.111-cotta,6,m,-0.00828916970692739,0.09963047553465587,2.792614403155989,0.033323758738833975,3.2209085899212475,0.3697402892113899,38.072328,13.085845852636185
IMSLP02023-Beethoven-op.111-cotta,7,ks,-0.0002193898223283395,0.09547166846498172,1.95642749726973,0.07797864864868706,2.722326953333509,1.497973295164865,40.016977,32.352196937271195
IMSLP02023-Beethoven-op.111-cotta,7,m,-0.004349632094554419,0.025183591982565104,1.3368173433554738,0.10853945682934932,3.2036912104516215,0.36551809349023956,38.272211,12.44988253488728
IMSLP02023-Beethoven-op.111-cotta,8,ks,-0.029051442828380937,0.07146969080236645,2.919023981397774,0.038800568394853324,1.4679828450703925,1.4665998241843836,39.014697,32.90748718312269
IMSLP02023-Beethoven-op.111-cotta,8,m,-0.007109297613554714,0.12602613336368845,2.71757936188526,0.08649071862527065,2.976558398859396,2.0608961628580476,38.433206,44.31628508690224
IMSLP02023-Beethoven-op.111-cotta,9,ks,-0.005626680205036983,0.03602107831151149,3.4050459510858437,0.10151904893484445,3.4551073525135623,0.6655573859597665,38.807677,32.36009925031192
IMSLP02023-Beethoven-op.111-cotta,9,m,-0.018350556291008874,0.09587444801420145,3.6327151149486747,0.04569252876931913,1.7738677628535853,0.5465202481010385,40.554655,32.38016197531223
IMSLP02023-Beethoven-op.111-cotta,10,ks,-0.004316938698295806,0.07056076993946458,0.6918773581218899,0.015746966490690687,1.1028801936734864,1.9692804721906554,40.006777,48.83590997888595
IMSLP02023-Beethoven-op.111-cotta,10,m,-0.0011675116800866341,0.06950608826504337,3.2942993325690377,0.07623741279422055,2.469676435843258,1.4459050908168214,39.698443,37.108283306044726
IMSLP02023-Beethoven-op.111-cotta,11,ks,-0.0024161152129854105,0.05057005061213231,3.9338310921631257,0.11756992610969384,4.248588145705355,0.06368588168823633,42.711966,12.758437665129318
IMSLP02023-Beethoven-op.111-cotta,11,m,0.00045629566253746175,0.03180751045318416,2.986417230682071,0.023163012317171838,3.9618821347081807,0.49761219961611425,39.481214,12.870665645676919
IMSLP02023-Beethoven-op.111-cotta,12,ks,-0.00021447406738764156,0.04701844226358494,3.6109770926867384,0.10580768818951583,2.2102482542922703,0.9409518953683325,39.520355,34.185226691088964
IMSLP02023-Beethoven-op.111-cotta,12,m,0.03686465721609878,0.015158787335602358,1.5260819238821641,0.08454275481966819,2.2321866159734074,1.7881293771444022,39.719165,95.46715481841379
IMSLP02023-Beethoven-op.111-cotta,13,ks,,,,,,,,
IMSLP02023-Beethoven-op.111-cotta,13,m,,,,,,,,
IMSLP02023-Beethoven-op.111-cotta,14,ks,,,,,,,,
IMSLP02023-Beethoven-op.111-cotta,14,m,,,,,,,,
IMSLP02023-Beethoven-op.111-cotta,15,ks,,,,,,,,
IMSLP02023-Beethoven-op.111-cotta,15,m,,,,,,,,
IMSLP02023-Beethoven-op.111-cotta,16,ks,,,,,,,,
IMSLP02023-Beethoven-op.111-cotta,16,m,,,,,,,,
IMSLP02023-Beethoven-op.111-cotta,17,ks,,,,,,,,
IMSLP02023-Beethoven-op.111-cotta,17,m,,,,,,,,
IMSLP02023-Beethoven-op.111-cotta,18,ks,,,,,,,,
IMSLP02023-Beethoven-op.111-cotta,18,m,,,,,,,,
IMSLP02023-Beethoven-op.111-cotta,19,ks,,,,,,,,
IMSLP02023-Beethoven-op.111-cotta,19,m,,,,,,,,
IMSLP02023-Beethoven-op.111-cotta,20,ks,,,,,,,,
IMSLP02023-Beethoven-op.111-cotta,20,m,,,,,,,,
IMSLP02023-Beethoven-op.111-cotta,21,ks,,,,,,,,
IMSLP02023-Beethoven-op.111-cotta,21,m,,,,,,,,
IMSLP02023-Beethoven-op.111-cotta,22,ks,,,,,,,,
IMSLP02023-Beethoven-op.111-cotta,22,m,,,,,,,,
IMSLP02023-Beethoven-op.111-cotta,23,ks,,,,,,,,
IMSLP02023-Beethoven-op.111-cotta,23,m,,,,,,,,
IMSLP02023-Beethoven-op.111-cotta,24,ks,,,,,,,,
IMSLP02023-Beethoven-op.111-cotta,24,m,,,,,,,,
IMSLP02023-Beethoven-op.111-cotta,25,ks,,,,,,,,
IMSLP02023-Beethoven-op.111-cotta,25,m,,,,,,,,
IMSLP02023-Beethoven-op.111-cotta,26,ks,-0.020053845638941144,0.06077184705848286,1.6793213834879497,0.09368058037610066,4.39098129055626,0.16040156437966246,39.554352,19.11847097721015
IMSLP02023-Beethoven-op.111-cotta,26,m,-0.021958060957347317,0.10621600876417836,2.096608185700162,0.040969208088463466,1.8201954190436918,0.4872376602755577,38.179275,18.96152931715693
