doc,page,fn,nu,a0,a,b0,b,k,time,fun
IMSLP03726-Beethoven_Piano.Sonata.21.op.53_Henselt,0,ks,,,,,,,,
IMSLP03726-Beethoven_Piano.Sonata.21.op.53_Henselt,0,m,,,,,,,,
IMSLP03726-Beethoven_Piano.Sonata.21.op.53_Henselt,1,ks,,,,,,,,
IMSLP03726-Beethoven_Piano.Sonata.21.op.53_Henselt,1,m,,,,,,,,
IMSLP03726-Beethoven_Piano.Sonata.21.op.53_Henselt,2,ks,,,,,,,,
IMSLP03726-Beethoven_Piano.Sonata.21.op.53_Henselt,2,m,,,,,,,,
IMSLP03726-Beethoven_Piano.Sonata.21.op.53_Henselt,3,ks,,,,,,,,
IMSLP03726-Beethoven_Piano.Sonata.21.op.53_Henselt,3,m,,,,,,,,
IMSLP03726-Beethoven_Piano.Sonata.21.op.53_Henselt,4,ks,,,,,,,,
IMSLP03726-Beethoven_Piano.Sonata.21.op.53_Henselt,4,m,,,,,,,,
IMSLP03726-Beethoven_Piano.Sonata.21.op.53_Henselt,5,ks,,,,,,,,
IMSLP03726-Beethoven_Piano.Sonata.21.op.53_Henselt,5,m,,,,,,,,
IMSLP03726-Beethoven_Piano.Sonata.21.op.53_Henselt,6,ks,,,,,,,,
IMSLP03726-Beethoven_Piano.Sonata.21.op.53_Henselt,6,m,,,,,,,,
IMSLP03726-Beethoven_Piano.Sonata.21.op.53_Henselt,7,ks,,,,,,,,
IMSLP03726-Beethoven_Piano.Sonata.21.op.53_Henselt,7,m,,,,,,,,
IMSLP03726-Beethoven_Piano.Sonata.21.op.53_Henselt,8,ks,,,,,,,,
IMSLP03726-Beethoven_Piano.Sonata.21.op.53_Henselt,8,m,,,,,,,,
IMSLP03726-Beethoven_Piano.Sonata.21.op.53_Henselt,9,ks,,,,,,,,
IMSLP03726-Beethoven_Piano.Sonata.21.op.53_Henselt,9,m,,,,,,,,
IMSLP03726-Beethoven_Piano.Sonata.21.op.53_Henselt,10,ks,,,,,,,,
IMSLP03726-Beethoven_Piano.Sonata.21.op.53_Henselt,10,m,,,,,,,,
IMSLP03726-Beethoven_Piano.Sonata.21.op.53_Henselt,11,ks,,,,,,,,
IMSLP03726-Beethoven_Piano.Sonata.21.op.53_Henselt,11,m,,,,,,,,
IMSLP03726-Beethoven_Piano.Sonata.21.op.53_Henselt,12,ks,-0.008680827692835829,0.1257968420119956,3.6277674605003436,0.11641208895536179,1.8164328454326149,0.9059291244574584,39.292593,33.14198224531242
