doc,page,fn,nu,a0,a,b0,b,k,time,fun
IMSLP05558-Btsn111,0,ks,-0.003051779616061626,0.09948076334271706,1.6818587843073018,0.04303338872433744,1.8827692065084465,1.3155218758420437,38.95641,32.92736986738779
IMSLP05558-Btsn111,0,m,-0.011143323915496103,0.046858003654832295,4.913487000932065,0.033417944699473616,2.363290613461503,0.4648980914047589,37.999819,12.476850039354854
IMSLP05558-Btsn111,1,ks,-0.0038574538620533365,0.028974080720256715,0.8821133263067884,0.060587283570866485,0.49943009486353573,0.8029017501738118,39.942872,35.308457569068814
IMSLP05558-Btsn111,1,m,-0.02337908021627519,0.04878309671881338,3.8148261587899555,0.013475703845908345,1.115275722389605,0.4110060499428825,40.028023,12.635410173484718
IMSLP05558-Btsn111,2,ks,-0.00972047917898135,0.1277662051626932,2.975913975173264,0.03147719780380549,3.369134565079305,1.8931160534475557,38.361089,45.60424212357853
IMSLP05558-Btsn111,2,m,-0.008858664825643979,0.0714111588961814,1.850775496523323,0.07756366276522218,2.028297747553743,1.0505328231691586,40.502744,34.22153385646529
IMSLP05558-Btsn111,3,ks,-0.00025883362304378495,0.04319989704234645,1.3259377018733938,0.05135216304021628,1.9384787557658232,1.0824160208750802,38.365093,34.439714072022895
IMSLP05558-Btsn111,3,m,-0.019858133632112796,0.0753243446083092,1.011184839457532,0.016595147962767485,2.5487463206280294,0.4313243973622569,38.941854,11.989195838918748
IMSLP05558-Btsn111,4,ks,0.0424161778301119,0.09911209189438844,2.7317119741594853,0.09821239458288407,2.2697205080838136,1.793699709008741,39.204559,95.3782035129356
IMSLP05558-Btsn111,4,m,-0.008536951810368877,0.07387139162343107,3.109335140586869,0.04357898233136901,0.7095045290186677,0.4986230151501982,38.264258,11.508648358977036
IMSLP05558-Btsn111,5,ks,-0.006512062797403635,0.04031990634058211,3.234409402765486,0.05778215527818745,2.0352103060902635,2.4892622406196496,39.244492,45.41975588656448
IMSLP05558-Btsn111,5,m,-0.005932731458728508,0.0361194774354419,2.3272225530847024,0.10547612605277615,1.6051288149204406,0.23170394690071727,38.369552,12.95474177086793
IMSLP05558-Btsn111,6,ks,0.0002618462814410862,0.07558975731522527,3.1805953000070657,0.10198315878403826,3.922415266781676,0.002138101635095935,40.303751,11.72413710216336
IMSLP05558-Btsn111,6,m,-0.006293650056783858,0.08815095066894398,3.7369994290354507,0.03455080687821135,4.301844103994786,0.07747033248701558,39.230427,11.889538017111526
IMSLP05558-Btsn111,7,ks,-0.012586124727915869,0.029687107859380224,2.179594456802155,0.08507544320992574,1.5477946399134406,0.43239077664713155,39.292714,12.460492784257609
IMSLP05558-Btsn111,7,m,-0.010368457844036574,0.0407279780190045,5.113454056492898,0.12285523005911834,1.4680190371903536,1.4457882444566268,38.811213,34.402761385742494
IMSLP05558-Btsn111,8,ks,-0.052037045687828534,0.11396114266480875,2.2213527070245975,0.04693151491372599,3.5474789287518655,0.3980939317188963,39.190922,14.110344503518665
IMSLP05558-Btsn111,8,m,-0.010661970503397504,0.12016483171677944,2.543745564121445,0.013862431393527868,1.4989167194887094,1.4960242733536586,39.264423,34.80725770718254
