doc,page,fn,nu,a0,a,b0,b,k,time,fun
IMSLP173651-PMLP01409-Beethove__Lv__Piano_Sonata_No.7__Op.10_No.3__Largo_ArrPoenitz_OrgHarm_mono,0,ks,,,,,,,,
IMSLP173651-PMLP01409-Beethove__Lv__Piano_Sonata_No.7__Op.10_No.3__Largo_ArrPoenitz_OrgHarm_mono,0,m,,,,,,,,
IMSLP173651-PMLP01409-Beethove__Lv__Piano_Sonata_No.7__Op.10_No.3__Largo_ArrPoenitz_OrgHarm_mono,1,ks,,,,,,,,
IMSLP173651-PMLP01409-Beethove__Lv__Piano_Sonata_No.7__Op.10_No.3__Largo_ArrPoenitz_OrgHarm_mono,1,m,,,,,,,,
IMSLP173651-PMLP01409-Beethove__Lv__Piano_Sonata_No.7__Op.10_No.3__Largo_ArrPoenitz_OrgHarm_mono,2,ks,,,,,,,,
IMSLP173651-PMLP01409-Beethove__Lv__Piano_Sonata_No.7__Op.10_No.3__Largo_ArrPoenitz_OrgHarm_mono,2,m,,,,,,,,
IMSLP173651-PMLP01409-Beethove__Lv__Piano_Sonata_No.7__Op.10_No.3__Largo_ArrPoenitz_OrgHarm_mono,3,ks,-0.014235791522385823,0.018472353648962218,2.8007300769081622,0.04446024553068009,3.603576227820647,1.1762101457665324,39.247437,32.30635139844989
IMSLP173651-PMLP01409-Beethove__Lv__Piano_Sonata_No.7__Op.10_No.3__Largo_ArrPoenitz_OrgHarm_mono,3,m,-0.002955209163792778,0.059768079930808425,2.9818278607176145,0.09223947069343365,2.1636710781818977,1.3592871585546586,38.064593,32.24979963693384
IMSLP173651-PMLP01409-Beethove__Lv__Piano_Sonata_No.7__Op.10_No.3__Largo_ArrPoenitz_OrgHarm_mono,4,ks,-0.001863960342331581,0.05146675104613248,2.3508642723173225,0.12381447501396214,3.012360882662547,1.2854847067592203,38.340823,31.9904485052776
IMSLP173651-PMLP01409-Beethove__Lv__Piano_Sonata_No.7__Op.10_No.3__Largo_ArrPoenitz_OrgHarm_mono,4,m,-0.010122315111857867,0.05601261226500831,3.120780304555675,0.10149005738210597,1.9765728772839037,0.36792411167323447,39.170691,13.929335474258917
IMSLP173651-PMLP01409-Beethove__Lv__Piano_Sonata_No.7__Op.10_No.3__Largo_ArrPoenitz_OrgHarm_mono,5,ks,,,,,,,,
IMSLP173651-PMLP01409-Beethove__Lv__Piano_Sonata_No.7__Op.10_No.3__Largo_ArrPoenitz_OrgHarm_mono,5,m,,,,,,,,
IMSLP173651-PMLP01409-Beethove__Lv__Piano_Sonata_No.7__Op.10_No.3__Largo_ArrPoenitz_OrgHarm_mono,6,ks,,,,,,,,
IMSLP173651-PMLP01409-Beethove__Lv__Piano_Sonata_No.7__Op.10_No.3__Largo_ArrPoenitz_OrgHarm_mono,6,m,,,,,,,,
IMSLP173651-PMLP01409-Beethove__Lv__Piano_Sonata_No.7__Op.10_No.3__Largo_ArrPoenitz_OrgHarm_mono,7,ks,,,,,,,,
IMSLP173651-PMLP01409-Beethove__Lv__Piano_Sonata_No.7__Op.10_No.3__Largo_ArrPoenitz_OrgHarm_mono,7,m,,,,,,,,
