doc,page,fn,nu,a0,a,b0,b,k,time,fun
IMSLP19667-PMLP01446-Beethoven_-_Piano_Sonata_No.1_Cotta,0,ks,,,,,,,,
IMSLP19667-PMLP01446-Beethoven_-_Piano_Sonata_No.1_Cotta,0,m,,,,,,,,
IMSLP19667-PMLP01446-Beethoven_-_Piano_Sonata_No.1_Cotta,1,ks,,,,,,,,
IMSLP19667-PMLP01446-Beethoven_-_Piano_Sonata_No.1_Cotta,1,m,,,,,,,,
IMSLP19667-PMLP01446-Beethoven_-_Piano_Sonata_No.1_Cotta,2,ks,,,,,,,,
IMSLP19667-PMLP01446-Beethoven_-_Piano_Sonata_No.1_Cotta,2,m,,,,,,,,
IMSLP19667-PMLP01446-Beethoven_-_Piano_Sonata_No.1_Cotta,3,ks,,,,,,,,
IMSLP19667-PMLP01446-Beethoven_-_Piano_Sonata_No.1_Cotta,3,m,,,,,,,,
IMSLP19667-PMLP01446-Beethoven_-_Piano_Sonata_No.1_Cotta,4,ks,-0.005335680568095591,0.021404115266532738,3.5534067003226015,0.05931841700860825,2.9687026196804513,2.4362636399323363,39.578976,43.806200933285716
IMSLP19667-PMLP01446-Beethoven_-_Piano_Sonata_No.1_Cotta,4,m,0.0010196017537018962,0.049323484255486466,1.899659322149513,0.0951413503244746,3.953621691864643,0.02666375987888655,38.782759,13.990308677432333
IMSLP19667-PMLP01446-Beethoven_-_Piano_Sonata_No.1_Cotta,5,ks,-0.007496489911813254,0.08894864378858255,2.792766783026061,0.03594291469701895,1.8472559613518902,0.07295732804727566,38.36479,13.07459278827326
IMSLP19667-PMLP01446-Beethoven_-_Piano_Sonata_No.1_Cotta,5,m,0.0007677984398088413,0.09435211837468284,2.3432947791917034,0.03851345696254889,2.9685955416758087,0.7684064845750633,37.984789,32.53166754665174
IMSLP19667-PMLP01446-Beethoven_-_Piano_Sonata_No.1_Cotta,6,ks,-0.007321257889851675,0.0888985133135875,4.261501039629331,0.03171851132423234,1.9900817828668487,0.00900973835367671,38.110819,11.343331493535572
IMSLP19667-PMLP01446-Beethoven_-_Piano_Sonata_No.1_Cotta,6,m,-0.0073665641886159275,0.09430226150546617,2.5994501905053546,0.1084276991373162,1.3200321559319064,0.21520434357156945,37.98496,11.849418031437224
IMSLP19667-PMLP01446-Beethoven_-_Piano_Sonata_No.1_Cotta,7,ks,-0.004033059182448434,0.014416951095483176,2.3357862168797894,0.06623476893620382,4.24178255027557,1.9181368274808075,37.849741,44.41355576481175
IMSLP19667-PMLP01446-Beethoven_-_Piano_Sonata_No.1_Cotta,7,m,-0.008875471468600286,0.07041690216621782,2.7814310937560496,0.028996664405957905,2.885621143969167,1.3667443883190025,38.2476,32.372159543508744
IMSLP19667-PMLP01446-Beethoven_-_Piano_Sonata_No.1_Cotta,8,ks,-0.014653036092672957,0.15396820902949193,2.2043580899722297,0.1289158276866913,1.712512622999908,0.9073314637139749,38.197965,32.81999353980055
IMSLP19667-PMLP01446-Beethoven_-_Piano_Sonata_No.1_Cotta,8,m,-0.01930199226917981,0.016285894679997043,-0.2915724742260666,0.14593444969799724,2.598806525587511,1.4923921085567242,38.266202,32.08045600943778
IMSLP19667-PMLP01446-Beethoven_-_Piano_Sonata_No.1_Cotta,9,ks,,,,,,,,
IMSLP19667-PMLP01446-Beethoven_-_Piano_Sonata_No.1_Cotta,9,m,,,,,,,,
IMSLP19667-PMLP01446-Beethoven_-_Piano_Sonata_No.1_Cotta,10,ks,-0.036578079693007616,0.05831201193750973,0.7222334269391335,0.07079367640186288,2.379551801246481,1.4211842024510024,37.994082,32.25304015103397
IMSLP19667-PMLP01446-Beethoven_-_Piano_Sonata_No.1_Cotta,10,m,0.011254570597162181,0.01309665462097012,0.5685240349457135,0.08788703845518288,2.743963638207849,1.4411998204746197,40.636015,62.922490410727164
IMSLP19667-PMLP01446-Beethoven_-_Piano_Sonata_No.1_Cotta,11,ks,-0.02031363851225838,0.04474261053464727,1.2790155692643776,0.09287954657550529,1.3012371283935973,1.390092219571514,38.284259,32.712224039548474
IMSLP19667-PMLP01446-Beethoven_-_Piano_Sonata_No.1_Cotta,11,m,0.03742737982107658,0.05011194498202825,2.2813826643191444,0.02733053137044134,1.6150496639595096,1.5541257455497628,39.120939,93.35284435385535
IMSLP19667-PMLP01446-Beethoven_-_Piano_Sonata_No.1_Cotta,12,ks,,,,,,,,
IMSLP19667-PMLP01446-Beethoven_-_Piano_Sonata_No.1_Cotta,12,m,,,,,,,,
IMSLP19667-PMLP01446-Beethoven_-_Piano_Sonata_No.1_Cotta,13,ks,,,,,,,,
IMSLP19667-PMLP01446-Beethoven_-_Piano_Sonata_No.1_Cotta,13,m,,,,,,,,
IMSLP19667-PMLP01446-Beethoven_-_Piano_Sonata_No.1_Cotta,14,ks,-0.012624292146225936,0.036107313629149394,1.1136224972947066,0.05325878460698761,3.417856839295953,1.163899557092317,39.808874,32.53948408157391
IMSLP19667-PMLP01446-Beethoven_-_Piano_Sonata_No.1_Cotta,14,m,0.04461683360277616,0.05691431716084372,2.5436580496355785,0.03563723260065886,2.3737939753924087,1.5379444940132205,40.634643,94.51566152560342
IMSLP19667-PMLP01446-Beethoven_-_Piano_Sonata_No.1_Cotta,15,ks,,,,,,,,
IMSLP19667-PMLP01446-Beethoven_-_Piano_Sonata_No.1_Cotta,15,m,,,,,,,,
IMSLP19667-PMLP01446-Beethoven_-_Piano_Sonata_No.1_Cotta,16,ks,-0.007127312827366191,0.06425913832840036,2.606258873204237,0.020727311405945536,1.192857850547159,1.05667739712078,38.073701,33.56275836238281
IMSLP19667-PMLP01446-Beethoven_-_Piano_Sonata_No.1_Cotta,16,m,-0.007852164646690606,0.024257205867484494,0.8608807125462659,0.0819999213672332,3.5261988829252173,0.6983996646627907,39.415842,33.51992945085746
IMSLP19667-PMLP01446-Beethoven_-_Piano_Sonata_No.1_Cotta,17,ks,-0.00014724677695843527,0.027237127856582104,1.215976619609223,0.04271130286231539,1.699557811947586,0.4449956390314971,37.331096,12.44720522110653
IMSLP19667-PMLP01446-Beethoven_-_Piano_Sonata_No.1_Cotta,17,m,0.01078222140934589,0.06126096084358081,3.474829324698011,0.09000841598057616,3.125845336571531,1.4523197061175654,38.535466,62.57110804972092
IMSLP19667-PMLP01446-Beethoven_-_Piano_Sonata_No.1_Cotta,18,ks,-0.0006172571644699892,0.04257544299198712,3.4565886709149467,0.10297077192675796,2.02721882519939,0.1933313741949807,38.825415,13.361593650923918
IMSLP19667-PMLP01446-Beethoven_-_Piano_Sonata_No.1_Cotta,18,m,0.0004498606256835118,0.05546007387630392,1.4530113723364728,0.051068993500207646,3.736663734819083,0.8988737223732426,37.756455,33.91118413827318
