doc,page,fn,nu,a0,a,b0,b,k,time,fun
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,0,ks,-0.010641973324800075,0.07178511212620114,3.255115983850267,0.08441359364151424,1.5286079207916305,0.4270028759118818,38.128628,19.635944503001912
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,0,m,-0.005427078487831643,0.1342529286868687,3.823166665549264,0.058836471486346534,2.236362445004805,0.48920430119661307,37.6462,19.708873378919364
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,1,ks,-0.011413787495973438,0.011904845866312413,2.421068911013931,0.11286868388999022,4.7715605873166025,0.8961824637375773,38.090586,36.14382816755497
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,1,m,0.00015571454744385885,0.08442463832748355,2.2444494051729267,0.06116265085711814,2.3584729507801456,0.38534613961821884,39.053224,21.301175471821228
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,2,ks,,,,,,,,
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,2,m,,,,,,,,
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,3,ks,,,,,,,,
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,3,m,,,,,,,,
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,4,ks,,,,,,,,
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,4,m,,,,,,,,
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,5,ks,-0.00503162574840523,0.021668771012785436,3.1810394003566698,0.12944237912928697,4.391271163572146,0.39526375331015384,38.269805,18.834881625668203
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,5,m,-0.0035565638078748803,0.051094876477522255,0.7470744043453912,0.10944972931989469,3.4181336938007147,1.4197093591685395,38.631991,35.13049848078496
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,6,ks,,,,,,,,
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,6,m,,,,,,,,
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,7,ks,0.03028780931383232,0.09910403802257386,3.4477887358817965,0.0964969136162683,1.968140454268212,1.5322505815381846,39.876654,95.74801878230373
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,7,m,-0.034321279951784495,0.09978028525247257,1.6875471682611067,0.03622387163636158,2.420074964616103,0.4996799623008138,39.020204,20.558038553927112
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,8,ks,-0.04161345478072527,0.13974527658509528,2.644445377947958,0.05964053655247212,1.9565859286165284,0.2388507777790284,38.104784,16.586017261695616
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,8,m,-0.0078925018535472,0.016866884457049498,1.7028373018508685,0.04512833838749952,0.9795451908723134,0.14319352483382186,37.470799,16.770387876133416
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,9,ks,-0.005163555744744125,0.03939104287066574,3.806754516289636,0.10126393329844705,2.038553641836688,1.4782698855385337,38.068182,35.792686183751684
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,9,m,0.016841596521191143,0.06857024408425888,0.8736220418413753,0.08999207547618737,3.193720839092263,1.8358044295763338,39.348108,83.35673059304281
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,10,ks,-0.0013762000274917378,0.08488593590769011,2.0527126884096045,0.1128315310997555,3.4847715271280255,0.12457200636739661,37.35303,19.1823568483556
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,10,m,-0.010371719075304528,0.046906466820874626,3.3402390687129184,0.05126070074656261,4.417429681843771,0.05102662959997245,38.765305,19.53744650780316
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,11,ks,-0.01592284991289688,0.014421924304282054,2.3847482372195867,0.08926133469191253,1.8726167442830852,0.4559238471570517,38.624125,16.545683841244536
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,11,m,-0.009948854653986839,0.043455842186014504,3.1838529737394627,0.062449680656839666,5.033092963590709,0.48218093975309395,39.693277,16.483210592227582
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,12,ks,0.00046283566433665164,0.01940086135895757,1.2621262215452187,0.06013444913279071,3.324959894356136,0.19955789345926167,38.118167,17.99789177311598
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,12,m,0.00044701606854364966,0.03308125533446123,3.0544620731096064,0.1092025387721048,2.768828670363548,1.3439733470061914,39.774421,34.81905243546468
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,13,ks,-0.0004285595383874425,0.09190737032767177,0.7553968429842814,0.0685727392912989,2.653955442024463,0.4418244144382125,41.017494,17.11198396274282
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,13,m,-0.003253691761181555,0.07383955510924872,1.1309728071968754,0.045233762062890565,4.249677996970377,0.117020299031099,39.930933,17.06166870501932
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,14,ks,-0.009088411340179584,0.06429707037626513,2.1864271636461474,0.024250555620358223,1.425824005687825,0.8688431229671921,39.644965,35.07186426247665
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,14,m,-0.01370166375955996,0.08380697125929512,5.32110756583891,0.0700368528532567,0.781808000847207,0.6002584503709449,37.690803,35.40055244409928
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,15,ks,,,,,,,,
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,15,m,,,,,,,,
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,16,ks,,,,,,,,
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,16,m,,,,,,,,
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,17,ks,-0.0005887902808393887,0.08941316420561804,3.5762694127729464,0.07483561486993202,3.581306467215893,0.33681463750603424,38.711099,20.347455719277804
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,17,m,-0.0019266597086633605,0.030625453419991525,1.9482392834741544,0.03511323839447941,1.711491015062984,1.4538613896016703,38.960563,34.842617412802916
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,18,ks,,,,,,,,
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,18,m,,,,,,,,
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,19,ks,,,,,,,,
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,19,m,,,,,,,,
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,20,ks,,,,,,,,
IMSLP196715-PMLP01412-Beethoven_Sonata_No_10__Goldenweiser_,20,m,,,,,,,,
