doc,page,fn,nu,a0,a,b0,b,k,time,fun
IMSLP237873-SIBLEY1802.22432.1293-39087012432144Andante_Beethoven,0,ks,,,,,,,,
IMSLP237873-SIBLEY1802.22432.1293-39087012432144Andante_Beethoven,0,m,,,,,,,,
IMSLP237873-SIBLEY1802.22432.1293-39087012432144Andante_Beethoven,1,ks,,,,,,,,
IMSLP237873-SIBLEY1802.22432.1293-39087012432144Andante_Beethoven,1,m,,,,,,,,
IMSLP237873-SIBLEY1802.22432.1293-39087012432144Andante_Beethoven,2,ks,,,,,,,,
IMSLP237873-SIBLEY1802.22432.1293-39087012432144Andante_Beethoven,2,m,,,,,,,,
IMSLP237873-SIBLEY1802.22432.1293-39087012432144Andante_Beethoven,3,ks,,,,,,,,
IMSLP237873-SIBLEY1802.22432.1293-39087012432144Andante_Beethoven,3,m,,,,,,,,
IMSLP237873-SIBLEY1802.22432.1293-39087012432144Andante_Beethoven,4,ks,,,,,,,,
IMSLP237873-SIBLEY1802.22432.1293-39087012432144Andante_Beethoven,4,m,,,,,,,,
IMSLP237873-SIBLEY1802.22432.1293-39087012432144Andante_Beethoven,5,ks,,,,,,,,
IMSLP237873-SIBLEY1802.22432.1293-39087012432144Andante_Beethoven,5,m,,,,,,,,
IMSLP237873-SIBLEY1802.22432.1293-39087012432144Andante_Beethoven,6,ks,,,,,,,,
IMSLP237873-SIBLEY1802.22432.1293-39087012432144Andante_Beethoven,6,m,,,,,,,,
IMSLP237873-SIBLEY1802.22432.1293-39087012432144Andante_Beethoven,7,ks,,,,,,,,
IMSLP237873-SIBLEY1802.22432.1293-39087012432144Andante_Beethoven,7,m,,,,,,,,
IMSLP237873-SIBLEY1802.22432.1293-39087012432144Andante_Beethoven,8,ks,,,,,,,,
IMSLP237873-SIBLEY1802.22432.1293-39087012432144Andante_Beethoven,8,m,,,,,,,,
