doc,page,fn,nu,a0,a,b0,b,k,time,fun
IMSLP243128-PMLP01410-Beethoven__Ludwig_van-Werke_Breitkopf_Kalmus_Band_20_B131_Op_13_scan,0,ks,-0.002511068346708223,0.04390308450426483,2.1736863513737035,0.07737907611965886,3.482689875472058,0.12864856915515033,37.853337,12.922682076527831
IMSLP243128-PMLP01410-Beethoven__Ludwig_van-Werke_Breitkopf_Kalmus_Band_20_B131_Op_13_scan,0,m,-0.0041689363893571505,0.055975306098563465,3.2617458086676487,0.03633999389855784,0.7286557152868782,0.3249443430803023,38.987265,12.99903116216434
IMSLP243128-PMLP01410-Beethoven__Ludwig_van-Werke_Breitkopf_Kalmus_Band_20_B131_Op_13_scan,1,ks,0.00029636362752865665,0.09408582686458661,2.407648437782658,0.047471298424404396,2.975783824270296,0.20124496859511934,39.790566,12.366026699778795
IMSLP243128-PMLP01410-Beethoven__Ludwig_van-Werke_Breitkopf_Kalmus_Band_20_B131_Op_13_scan,1,m,0.008461895254230078,0.06685163698994712,4.024668042600009,0.03221377161371197,2.0245422696583013,0.5181553201121876,37.26733,56.69729591284919
IMSLP243128-PMLP01410-Beethoven__Ludwig_van-Werke_Breitkopf_Kalmus_Band_20_B131_Op_13_scan,2,ks,0.019049649893924513,0.07791416703844625,3.21362251537427,0.0646754612804386,3.398379009806177,1.46311160768149,38.835393,81.37867246487002
IMSLP243128-PMLP01410-Beethoven__Ludwig_van-Werke_Breitkopf_Kalmus_Band_20_B131_Op_13_scan,2,m,0.029525827519884133,0.026683238489130054,2.585479956590799,0.08138536465136563,0.7148475394592054,1.854033346030445,38.993504,91.15846520216137
IMSLP243128-PMLP01410-Beethoven__Ludwig_van-Werke_Breitkopf_Kalmus_Band_20_B131_Op_13_scan,3,ks,-0.01051394745179811,0.04864105956513218,2.0526018059927216,0.0799997206120184,5.14274762240264,1.2484666203185453,41.822207,32.20070349500079
IMSLP243128-PMLP01410-Beethoven__Ludwig_van-Werke_Breitkopf_Kalmus_Band_20_B131_Op_13_scan,3,m,-0.0011013821943740708,0.06912139391318223,0.6884986158466511,0.04500957816266521,0.7922712984583953,1.4633084193818122,38.281069,32.354130541339124
IMSLP243128-PMLP01410-Beethoven__Ludwig_van-Werke_Breitkopf_Kalmus_Band_20_B131_Op_13_scan,4,ks,0.03936685162154214,0.0972609641836103,2.8224051298960715,0.031078786061254804,1.1555840017561851,1.9454987899223164,38.884637,94.70540586017471
IMSLP243128-PMLP01410-Beethoven__Ludwig_van-Werke_Breitkopf_Kalmus_Band_20_B131_Op_13_scan,4,m,0.011435571391338988,0.014931026175521554,2.248842826824869,0.024104582759558346,2.9202066219796623,1.4956142858880543,38.431195,65.40936427116762
IMSLP243128-PMLP01410-Beethoven__Ludwig_van-Werke_Breitkopf_Kalmus_Band_20_B131_Op_13_scan,5,ks,-0.0016768481369171247,0.08504283528515258,3.7873228351838155,0.0359076525225513,2.1564994215822053,0.8881790520805988,39.226959,33.52591696207936
IMSLP243128-PMLP01410-Beethoven__Ludwig_van-Werke_Breitkopf_Kalmus_Band_20_B131_Op_13_scan,5,m,-0.012458441133274333,0.11675178594824212,4.124711597231262,0.10808364412873306,1.7693176235704473,1.1106880081130561,38.992572,33.466921638711234
IMSLP243128-PMLP01410-Beethoven__Ludwig_van-Werke_Breitkopf_Kalmus_Band_20_B131_Op_13_scan,6,ks,-0.01075696990948384,0.15970204209788932,1.9823090603254845,0.021666570816097866,1.4026265425791036,0.9380557144955527,38.116942,31.89440843051307
IMSLP243128-PMLP01410-Beethoven__Ludwig_van-Werke_Breitkopf_Kalmus_Band_20_B131_Op_13_scan,6,m,-0.011400317502595032,0.12174434781942134,1.4536762989560335,0.1055531158510857,3.6338892199792667,0.43754030043345626,37.740074,12.359340641672224
IMSLP243128-PMLP01410-Beethoven__Ludwig_van-Werke_Breitkopf_Kalmus_Band_20_B131_Op_13_scan,7,ks,0.00011437715298923817,0.0820318391780364,2.227728599042435,0.032425557769113156,2.5904788631814926,0.48950106086232537,36.646012,11.603847079243742
