doc,page,fn,nu,a0,a,b0,b,k,time,fun
IMSLP264943-PMLP01410-Beethoven_-_Adagio_cantabile_Op13_No8__Lamoury__for_cello_and_piano,0,ks,-0.010632798077565182,0.10484001969641694,0.9181131006920622,0.04434575073497142,3.597317059663693,0.7235223637502051,39.496553,32.19202414547628
IMSLP264943-PMLP01410-Beethoven_-_Adagio_cantabile_Op13_No8__Lamoury__for_cello_and_piano,0,m,-0.007230948602024405,0.035404366393631564,1.8578468064990354,0.016830221771017236,1.100690144765169,1.2612174796720392,38.359547,32.22489548518929
IMSLP264943-PMLP01410-Beethoven_-_Adagio_cantabile_Op13_No8__Lamoury__for_cello_and_piano,1,ks,0.020577318443217224,0.04518240891418288,2.1846981936199894,0.04323625216663783,0.6016358041836657,1.893603324705208,37.198515,87.16554922567762
IMSLP264943-PMLP01410-Beethoven_-_Adagio_cantabile_Op13_No8__Lamoury__for_cello_and_piano,1,m,-0.00923451462847019,0.1199739144974322,3.4705373171392564,0.021232307585046864,3.5818488733196627,0.20979674654039004,37.488681,10.871384394800915
IMSLP264943-PMLP01410-Beethoven_-_Adagio_cantabile_Op13_No8__Lamoury__for_cello_and_piano,2,ks,-0.006958294441115967,0.018748918061042716,3.104525930548996,0.11860640621221774,2.3187955635667006,0.305356984743659,38.980651,11.227897385256265
IMSLP264943-PMLP01410-Beethoven_-_Adagio_cantabile_Op13_No8__Lamoury__for_cello_and_piano,2,m,-0.0027112389715771897,0.034290262162084015,2.91637888273959,0.10680201157166855,1.024360136000813,1.1151661744286656,38.031364,34.19298704067096
IMSLP264943-PMLP01410-Beethoven_-_Adagio_cantabile_Op13_No8__Lamoury__for_cello_and_piano,3,ks,-0.004809591821812986,0.08626618866484276,3.3687595834893695,0.06001453726163827,3.5434585954771682,0.9796157497952072,37.111279,33.51012426285782
IMSLP264943-PMLP01410-Beethoven_-_Adagio_cantabile_Op13_No8__Lamoury__for_cello_and_piano,3,m,0.01809621358070909,0.04612743774915869,3.6124964720465593,0.07402198720357123,1.4131679448193668,0.9167767964067925,38.340075,81.05382980646284
IMSLP264943-PMLP01410-Beethoven_-_Adagio_cantabile_Op13_No8__Lamoury__for_cello_and_piano,4,ks,-0.0026570877658989188,0.08247006270381603,0.6094371882928096,0.05694542974354143,3.368043187068227,1.1049210660215172,37.765717,33.59795048177921
IMSLP264943-PMLP01410-Beethoven_-_Adagio_cantabile_Op13_No8__Lamoury__for_cello_and_piano,4,m,-0.036427743485454016,0.07483921608898259,1.6207147738329741,0.23312680752993498,3.5382132374205,0.18795570181141041,37.376141,10.901948940024441
IMSLP264943-PMLP01410-Beethoven_-_Adagio_cantabile_Op13_No8__Lamoury__for_cello_and_piano,5,ks,-0.002279262279079949,0.08242878149495153,1.5470993666563548,0.1195409214174705,2.266358228572156,1.4080362195443874,37.716849,33.78310055677534
IMSLP264943-PMLP01410-Beethoven_-_Adagio_cantabile_Op13_No8__Lamoury__for_cello_and_piano,5,m,-0.009891450129248303,0.0477007876167208,2.4997345397220894,0.016564235162139257,6.293589626239997,0.4662705051435466,38.466146,11.573304526787409
