doc,page,fn,nu,a0,a,b0,b,k,time,fun
IMSLP27752-PMLP01446-Beethoven_Sonaten_Piano_Band1_Peters_No1_Op2,0,ks,,,,,,,,
IMSLP27752-PMLP01446-Beethoven_Sonaten_Piano_Band1_Peters_No1_Op2,0,m,,,,,,,,
IMSLP27752-PMLP01446-Beethoven_Sonaten_Piano_Band1_Peters_No1_Op2,1,ks,-0.0022037007039073042,0.01843331678762132,1.9470393274535835,0.08114971547011593,1.7462116693153007,1.4705144524264178,40.055755,32.49498421863018
IMSLP27752-PMLP01446-Beethoven_Sonaten_Piano_Band1_Peters_No1_Op2,1,m,-0.0021466157277766724,0.013764953059027075,0.6670195840939916,0.05357252606011789,1.1702552025001116,1.4665250951164794,39.574186,32.56367817762855
IMSLP27752-PMLP01446-Beethoven_Sonaten_Piano_Band1_Peters_No1_Op2,2,ks,-0.002837064387283563,0.0949497994139211,3.4375396990020404,0.11933932198964264,5.444626977916346,-1.204882122719233,38.987681,13.570956891480268
IMSLP27752-PMLP01446-Beethoven_Sonaten_Piano_Band1_Peters_No1_Op2,2,m,5.8906223747901346e-05,0.016182432688002967,1.2981375382531046,0.05320784975519362,2.8368799410424277,0.4290478882683304,40.009192,13.39526782635041
IMSLP27752-PMLP01446-Beethoven_Sonaten_Piano_Band1_Peters_No1_Op2,3,ks,-0.0028919633953877334,0.0715789778175395,3.5469251605474135,0.05675344974371262,2.34066033824187,1.2739642576165757,38.452628,33.648330157869324
IMSLP27752-PMLP01446-Beethoven_Sonaten_Piano_Band1_Peters_No1_Op2,3,m,-0.01593169029505213,0.10142941970780084,0.7745723508928007,0.05027129098541147,1.8344101774819774,0.797418464123083,39.142378,33.377836033214436
IMSLP27752-PMLP01446-Beethoven_Sonaten_Piano_Band1_Peters_No1_Op2,4,ks,-0.0030865991986684894,0.017475063375111247,1.825605495715458,0.11698584949953227,1.1529350048869231,1.4135153925729171,38.849493,33.83291871717623
IMSLP27752-PMLP01446-Beethoven_Sonaten_Piano_Band1_Peters_No1_Op2,4,m,-0.03703589149765958,0.12298891042919607,2.3245632614849923,0.06355615388189903,4.243997548135648,1.397243690612787,38.08361,33.23015714370041
IMSLP27752-PMLP01446-Beethoven_Sonaten_Piano_Band1_Peters_No1_Op2,5,ks,0.07711903507333259,0.02578935989564496,1.25152603335438,0.044151315084939295,0.7333991887902517,1.7539219252723506,40.04275,97.83062971027627
IMSLP27752-PMLP01446-Beethoven_Sonaten_Piano_Band1_Peters_No1_Op2,5,m,-0.006655285512595276,0.09346631852788687,3.128769600076124,0.06903961920046145,4.3238204863757534,0.7208645094408386,38.285421,31.852578588937405
IMSLP27752-PMLP01446-Beethoven_Sonaten_Piano_Band1_Peters_No1_Op2,6,ks,-0.013199972159353913,0.04317164178426976,2.8400707963389378,0.055690379397417056,1.1165180105369856,0.7625057260176777,38.862397,31.702634912531067
IMSLP27752-PMLP01446-Beethoven_Sonaten_Piano_Band1_Peters_No1_Op2,6,m,-0.0035559152841514816,0.039798166447999446,2.0643352021382633,0.020089597359226743,1.7752868507950654,1.4994878499218183,39.196908,31.7064326735826
IMSLP27752-PMLP01446-Beethoven_Sonaten_Piano_Band1_Peters_No1_Op2,7,ks,0.00036723265422611024,0.10941813025963062,2.357821125385863,0.0516080263662074,3.7201197537447657,1.282677319889379,39.34493,33.25228373007355
IMSLP27752-PMLP01446-Beethoven_Sonaten_Piano_Band1_Peters_No1_Op2,7,m,0.07946243988205842,0.10236906902826086,2.98872482978113,0.03767288934058478,0.712932818988311,1.5873732043571749,38.953751,98.28369309488625
