doc,page,fn,nu,a0,a,b0,b,k,time,fun
IMSLP51727-PMLP01460-Beethoven_Werke_Breitkopf_Serie_16_No_138_Op_28,0,ks,,,,,,,,
IMSLP51727-PMLP01460-Beethoven_Werke_Breitkopf_Serie_16_No_138_Op_28,0,m,,,,,,,,
IMSLP51727-PMLP01460-Beethoven_Werke_Breitkopf_Serie_16_No_138_Op_28,1,ks,,,,,,,,
IMSLP51727-PMLP01460-Beethoven_Werke_Breitkopf_Serie_16_No_138_Op_28,1,m,,,,,,,,
IMSLP51727-PMLP01460-Beethoven_Werke_Breitkopf_Serie_16_No_138_Op_28,2,ks,,,,,,,,
IMSLP51727-PMLP01460-Beethoven_Werke_Breitkopf_Serie_16_No_138_Op_28,2,m,,,,,,,,
IMSLP51727-PMLP01460-Beethoven_Werke_Breitkopf_Serie_16_No_138_Op_28,3,ks,,,,,,,,
IMSLP51727-PMLP01460-Beethoven_Werke_Breitkopf_Serie_16_No_138_Op_28,3,m,,,,,,,,
IMSLP51727-PMLP01460-Beethoven_Werke_Breitkopf_Serie_16_No_138_Op_28,4,ks,,,,,,,,
IMSLP51727-PMLP01460-Beethoven_Werke_Breitkopf_Serie_16_No_138_Op_28,4,m,,,,,,,,
IMSLP51727-PMLP01460-Beethoven_Werke_Breitkopf_Serie_16_No_138_Op_28,5,ks,,,,,,,,
IMSLP51727-PMLP01460-Beethoven_Werke_Breitkopf_Serie_16_No_138_Op_28,5,m,,,,,,,,
IMSLP51727-PMLP01460-Beethoven_Werke_Breitkopf_Serie_16_No_138_Op_28,6,ks,,,,,,,,
IMSLP51727-PMLP01460-Beethoven_Werke_Breitkopf_Serie_16_No_138_Op_28,6,m,,,,,,,,
IMSLP51727-PMLP01460-Beethoven_Werke_Breitkopf_Serie_16_No_138_Op_28,7,ks,,,,,,,,
IMSLP51727-PMLP01460-Beethoven_Werke_Breitkopf_Serie_16_No_138_Op_28,7,m,,,,,,,,
IMSLP51727-PMLP01460-Beethoven_Werke_Breitkopf_Serie_16_No_138_Op_28,8,ks,,,,,,,,
IMSLP51727-PMLP01460-Beethoven_Werke_Breitkopf_Serie_16_No_138_Op_28,8,m,,,,,,,,
IMSLP51727-PMLP01460-Beethoven_Werke_Breitkopf_Serie_16_No_138_Op_28,9,ks,,,,,,,,
IMSLP51727-PMLP01460-Beethoven_Werke_Breitkopf_Serie_16_No_138_Op_28,9,m,,,,,,,,
IMSLP51727-PMLP01460-Beethoven_Werke_Breitkopf_Serie_16_No_138_Op_28,10,ks,,,,,,,,
IMSLP51727-PMLP01460-Beethoven_Werke_Breitkopf_Serie_16_No_138_Op_28,10,m,,,,,,,,
IMSLP51727-PMLP01460-Beethoven_Werke_Breitkopf_Serie_16_No_138_Op_28,11,ks,-0.002554152103558596,0.029458250282616838,1.2999809095961004,0.0834887293834807,1.5758215578670156,0.9894811041931149,46.197062,32.06724974354204
IMSLP51727-PMLP01460-Beethoven_Werke_Breitkopf_Serie_16_No_138_Op_28,11,m,-0.00868858935550857,0.1135034559612291,1.1287932309905078,0.0921374448030346,1.9911995558893087,1.1948491624663715,45.099353,32.04914575754492
IMSLP51727-PMLP01460-Beethoven_Werke_Breitkopf_Serie_16_No_138_Op_28,12,ks,,,,,,,,
IMSLP51727-PMLP01460-Beethoven_Werke_Breitkopf_Serie_16_No_138_Op_28,12,m,,,,,,,,
IMSLP51727-PMLP01460-Beethoven_Werke_Breitkopf_Serie_16_No_138_Op_28,13,ks,,,,,,,,
IMSLP51727-PMLP01460-Beethoven_Werke_Breitkopf_Serie_16_No_138_Op_28,13,m,,,,,,,,
IMSLP51727-PMLP01460-Beethoven_Werke_Breitkopf_Serie_16_No_138_Op_28,14,ks,,,,,,,,
IMSLP51727-PMLP01460-Beethoven_Werke_Breitkopf_Serie_16_No_138_Op_28,14,m,,,,,,,,
IMSLP51727-PMLP01460-Beethoven_Werke_Breitkopf_Serie_16_No_138_Op_28,15,ks,,,,,,,,
IMSLP51727-PMLP01460-Beethoven_Werke_Breitkopf_Serie_16_No_138_Op_28,15,m,,,,,,,,
IMSLP51727-PMLP01460-Beethoven_Werke_Breitkopf_Serie_16_No_138_Op_28,16,ks,,,,,,,,
IMSLP51727-PMLP01460-Beethoven_Werke_Breitkopf_Serie_16_No_138_Op_28,16,m,,,,,,,,
IMSLP51727-PMLP01460-Beethoven_Werke_Breitkopf_Serie_16_No_138_Op_28,17,ks,,,,,,,,
IMSLP51727-PMLP01460-Beethoven_Werke_Breitkopf_Serie_16_No_138_Op_28,17,m,,,,,,,,
IMSLP51727-PMLP01460-Beethoven_Werke_Breitkopf_Serie_16_No_138_Op_28,18,ks,,,,,,,,
IMSLP51727-PMLP01460-Beethoven_Werke_Breitkopf_Serie_16_No_138_Op_28,18,m,,,,,,,,
IMSLP51727-PMLP01460-Beethoven_Werke_Breitkopf_Serie_16_No_138_Op_28,19,ks,,,,,,,,
IMSLP51727-PMLP01460-Beethoven_Werke_Breitkopf_Serie_16_No_138_Op_28,19,m,,,,,,,,
