doc,page,fn,nu,a0,a,b0,b,k,time,fun
IMSLP56251-PMLP01484-Beethoven_-_Moderato_from_Piano_Sonata_in_E_minor_Op90_cello_piano,0,ks,,,,,,,,
IMSLP56251-PMLP01484-Beethoven_-_Moderato_from_Piano_Sonata_in_E_minor_Op90_cello_piano,0,m,,,,,,,,
IMSLP56251-PMLP01484-Beethoven_-_Moderato_from_Piano_Sonata_in_E_minor_Op90_cello_piano,1,ks,,,,,,,,
IMSLP56251-PMLP01484-Beethoven_-_Moderato_from_Piano_Sonata_in_E_minor_Op90_cello_piano,1,m,,,,,,,,
IMSLP56251-PMLP01484-Beethoven_-_Moderato_from_Piano_Sonata_in_E_minor_Op90_cello_piano,2,ks,,,,,,,,
IMSLP56251-PMLP01484-Beethoven_-_Moderato_from_Piano_Sonata_in_E_minor_Op90_cello_piano,2,m,,,,,,,,
IMSLP56251-PMLP01484-Beethoven_-_Moderato_from_Piano_Sonata_in_E_minor_Op90_cello_piano,3,ks,-3.537230265512892e-05,0.021589047181926172,3.3760668724710112,0.011732062457565055,2.5380971129187557,1.2989820743911777,43.379776,32.71413744335811
IMSLP56251-PMLP01484-Beethoven_-_Moderato_from_Piano_Sonata_in_E_minor_Op90_cello_piano,3,m,0.0029071952705463193,0.062339474858700145,2.46269770999534,0.0551198663164717,2.479247231929211,1.494361866107913,43.773418,37.49268049279614
IMSLP56251-PMLP01484-Beethoven_-_Moderato_from_Piano_Sonata_in_E_minor_Op90_cello_piano,4,ks,-0.001674885974048693,0.10795789908644982,2.0686035856917226,0.07115931081322306,2.7568514081311477,0.4623507043691595,43.968394,13.09052750587094
IMSLP56251-PMLP01484-Beethoven_-_Moderato_from_Piano_Sonata_in_E_minor_Op90_cello_piano,4,m,-0.019799711304941108,0.09501029542413832,0.7063118537083648,0.10499119029424521,5.037135388236538,0.2932539410567052,43.596961,14.808306214384524
