doc,page,fn,nu,a0,a,b0,b,k,time,fun
IMSLP66409-PMLP01473-Sonata_in_G_major_Opus_49_no_2,0,ks,-0.00800502247804443,0.047153384112629856,2.376165630660786,0.09160299771793282,5.260637260665416,2.440512856693205,43.047739,44.17309292162231
IMSLP66409-PMLP01473-Sonata_in_G_major_Opus_49_no_2,0,m,-0.035831647456098986,0.06906319671350741,3.8961682218299263,0.14854706047715027,4.007857316158379,0.0599034899462465,45.107642,10.129369984113518
IMSLP66409-PMLP01473-Sonata_in_G_major_Opus_49_no_2,1,ks,,,,,,,,
IMSLP66409-PMLP01473-Sonata_in_G_major_Opus_49_no_2,1,m,,,,,,,,
IMSLP66409-PMLP01473-Sonata_in_G_major_Opus_49_no_2,2,ks,-0.010645256811355815,0.09369963988715477,1.1221886418607496,0.054929558289226896,3.4974938399316526,1.3921112539718767,44.824022,31.89752118545424
IMSLP66409-PMLP01473-Sonata_in_G_major_Opus_49_no_2,2,m,-0.014583238728303733,0.12140556120911042,4.617458420873398,0.08368449099809863,2.1324052417520742,0.2086451082917848,45.767979,11.538760161419539
IMSLP66409-PMLP01473-Sonata_in_G_major_Opus_49_no_2,3,ks,,,,,,,,
IMSLP66409-PMLP01473-Sonata_in_G_major_Opus_49_no_2,3,m,,,,,,,,
IMSLP66409-PMLP01473-Sonata_in_G_major_Opus_49_no_2,4,ks,-0.022901118644052008,0.0711441759934429,2.4843203787229564,0.01968912629731393,3.831993071660937,0.26255296058346755,45.153857,10.758886152798832
IMSLP66409-PMLP01473-Sonata_in_G_major_Opus_49_no_2,4,m,-0.007196546062411128,0.05431357131216971,3.475972246216365,0.07726895459444821,3.0056418133829856,0.8592892263025982,45.028922,33.433113316306965
IMSLP66409-PMLP01473-Sonata_in_G_major_Opus_49_no_2,5,ks,0.0003087563648995692,0.025393493533399987,2.2020491789818353,0.08163657160884194,3.4793106213310234,0.4623177376937988,43.168855,12.1733678842175
IMSLP66409-PMLP01473-Sonata_in_G_major_Opus_49_no_2,5,m,0.1065336267458068,0.05917147747499934,3.232989451449418,0.03974775355563869,1.9666355736734566,1.2643928644397184,44.170751,94.37841244517247
IMSLP66409-PMLP01473-Sonata_in_G_major_Opus_49_no_2,6,ks,-0.00791745235616345,0.09853520806159823,1.8845005932654328,0.0417565508922982,4.26171030173024,1.156860150052418,44.655324,32.723031164617886
IMSLP66409-PMLP01473-Sonata_in_G_major_Opus_49_no_2,6,m,0.09712095569860682,0.02044883185857791,1.849553219994431,0.09785476805498997,1.5277528151625441,0.7399592270272963,43.771473,96.24324378543483
