doc,page,fn,nu,a0,a,b0,b,k,time,fun
IMSLP66414-PMLP01482-Sonata_in_G_major_Opus_79,0,ks,-0.005217818450071837,0.03157941646640025,2.75088174218289,0.12873508497649092,3.9563149953453447,0.7698102290373743,44.878364,31.689438993277513
IMSLP66414-PMLP01482-Sonata_in_G_major_Opus_79,0,m,-0.004405258639416773,0.017771236321390813,3.7476933589722767,0.015599799649685112,1.2089728114813356,0.4493090274357181,44.60887,10.963651380113806
IMSLP66414-PMLP01482-Sonata_in_G_major_Opus_79,1,ks,0.03969172434366362,0.09905116814130234,2.452965135223011,0.05493869553241744,2.366208186757236,1.927254491377262,44.00654,95.29024048558402
IMSLP66414-PMLP01482-Sonata_in_G_major_Opus_79,1,m,0.0003562456378936431,0.0693960246736556,1.1358012836357996,0.06978634071239634,3.0653436517467805,0.36872849061347224,44.224569,10.836418722975486
IMSLP66414-PMLP01482-Sonata_in_G_major_Opus_79,2,ks,-0.025716109652882478,0.11565780454626745,2.9744951690143298,0.09657626668912583,1.9864144571164233,0.2106764305366933,42.845479,13.133149506022354
IMSLP66414-PMLP01482-Sonata_in_G_major_Opus_79,2,m,-0.016658286873895034,0.08041617065666386,1.3012553606479638,0.06487272368517061,2.1565651041270346,0.1203634501146778,44.118184,13.021216748571055
IMSLP66414-PMLP01482-Sonata_in_G_major_Opus_79,3,ks,-0.017855716644435204,0.08121744560548419,0.9016991941129319,0.1199322495335729,1.3737922354967416,0.23449711466146572,44.798131,12.215319730173613
IMSLP66414-PMLP01482-Sonata_in_G_major_Opus_79,3,m,-0.06222941554666629,0.06842190626406655,1.5344806529471215,0.08779085710179774,3.739612873122132,0.41298452910295125,43.876627,11.265190147209395
IMSLP66414-PMLP01482-Sonata_in_G_major_Opus_79,4,ks,-0.014025982688487176,0.07703037088441167,1.363603120482324,0.13692530132014663,1.8509753090234424,0.4629208079296201,43.547129,11.511724223912262
IMSLP66414-PMLP01482-Sonata_in_G_major_Opus_79,4,m,-0.0011064875176959904,0.07035304161599139,1.6905061459009239,0.06792169532613926,4.568007656033043,0.39033401010060287,43.722201,11.540448376370325
IMSLP66414-PMLP01482-Sonata_in_G_major_Opus_79,5,ks,-0.004888463616155445,0.025502327697547428,0.7391740087537801,0.05301751747873926,1.6459134728827287,1.3346496140607726,43.391912,32.00722811958835
IMSLP66414-PMLP01482-Sonata_in_G_major_Opus_79,5,m,-0.02468182729007484,0.1456508266102406,2.8862438537590083,0.047151697791184374,1.352778592003849,0.1635552119528567,44.468044,10.9511338548708
IMSLP66414-PMLP01482-Sonata_in_G_major_Opus_79,6,ks,0.058480705490844304,0.08502597800542562,1.7864536753894318,0.020754941977929594,2.4248114197536776,2.042346628409906,43.679958,97.59250091356827
IMSLP66414-PMLP01482-Sonata_in_G_major_Opus_79,6,m,0.012625598042055597,0.05797669959984143,1.2809615383975732,0.06711472564080155,0.9504386614880694,0.28342441621377024,43.978347,65.93058988056706
IMSLP66414-PMLP01482-Sonata_in_G_major_Opus_79,7,ks,-0.01073020866445469,0.06564048575732977,3.4652389423883045,0.08837208057710622,3.4477284879602914,1.1471646758253429,45.370674,32.49737368480953
IMSLP66414-PMLP01482-Sonata_in_G_major_Opus_79,7,m,-0.013186100615815884,0.0202553838172449,4.604311293488855,0.06396590748509272,3.0847815738092796,1.239264261287104,43.658895,32.601285375277236
IMSLP66414-PMLP01482-Sonata_in_G_major_Opus_79,8,ks,0.014750820222409481,0.012644331277152351,1.8918640556714186,0.07215953359789729,2.430623254671908,0.15947985598949127,43.619672,71.04159727576584
IMSLP66414-PMLP01482-Sonata_in_G_major_Opus_79,8,m,-0.0063882819753874505,0.07993623944404749,2.0355489501882476,0.1378397385056493,2.9758617223188537,1.3928031269552434,43.657138,33.02522508776966
IMSLP66414-PMLP01482-Sonata_in_G_major_Opus_79,9,ks,-0.003112080807293773,0.07048860548777372,1.9605237540458305,0.02169358106641725,2.2599371091836704,1.4808945028705094,43.397411,31.685881091408465
IMSLP66414-PMLP01482-Sonata_in_G_major_Opus_79,9,m,-0.004994802496388165,0.1024883093149293,3.9333017140393025,0.03586516863220399,3.5280560699168966,1.3008404535891158,42.580418,31.822325472897255
IMSLP66414-PMLP01482-Sonata_in_G_major_Opus_79,10,ks,-0.0006357513254373276,0.017151892791055123,2.702992695180115,0.0195598918236893,2.1621403390638645,0.31331857558051157,44.733481,11.215840005038721
IMSLP66414-PMLP01482-Sonata_in_G_major_Opus_79,10,m,-0.004370510353855852,0.10661571018613716,1.3805348015216805,0.06386738383660664,3.677874355483426,0.2749982114539774,43.311518,11.641657511198604
