doc,page,fn,nu,a0,a,b0,b,k,time,fun
IMSLP66421-PMLP01489-Sonata_in_C_minor_Opus_111,0,ks,-0.003848733231959285,0.05001402992114176,2.8239049562666505,0.01808391884082941,3.5428991187034553,0.6711818530573552,46.771374,34.18102018422379
IMSLP66421-PMLP01489-Sonata_in_C_minor_Opus_111,0,m,-0.019575389586217233,0.045012648306085395,3.3012659387153107,0.10269816435404935,1.9026968085180997,0.18161279241157063,43.316518,13.199244133378272
IMSLP66421-PMLP01489-Sonata_in_C_minor_Opus_111,1,ks,-0.004430300868987375,0.07445465587814809,3.0265004780749107,0.045149399044193295,2.521542762795371,1.038159901727647,45.360818,32.60403582276751
IMSLP66421-PMLP01489-Sonata_in_C_minor_Opus_111,1,m,-0.008521575223226448,0.06974289938433464,2.5825626816762823,0.06903977026612362,2.718325638291803,0.39330466683629484,44.978729,12.646533156959284
IMSLP66421-PMLP01489-Sonata_in_C_minor_Opus_111,2,ks,-0.006933077299148994,0.03363964462565601,2.829111659901365,0.08568600781880273,2.4026928187645726,0.24584950733803618,44.390153,12.187884080549429
IMSLP66421-PMLP01489-Sonata_in_C_minor_Opus_111,2,m,0.00014742952127135087,0.09588328623367837,3.9307112540686653,0.028398531983852462,3.508313163076746,0.462464608301548,42.258261,12.232923128154914
IMSLP66421-PMLP01489-Sonata_in_C_minor_Opus_111,3,ks,-0.005018568912160524,0.054628094567289204,1.1257839399153196,0.027550032429597582,3.2462675248929234,0.24567075479020278,45.534273,11.64055532883066
IMSLP66421-PMLP01489-Sonata_in_C_minor_Opus_111,3,m,0.018744005443217727,0.08960157983369212,2.184958974026068,0.012804499286567754,0.7486126430134408,0.659708365313896,45.257562,81.50596479957342
IMSLP66421-PMLP01489-Sonata_in_C_minor_Opus_111,4,ks,-0.01796012755341393,0.10903447013590112,4.147816038785171,0.03406031359621214,3.201910931638159,1.463986662561705,44.007513,32.68931487526419
IMSLP66421-PMLP01489-Sonata_in_C_minor_Opus_111,4,m,-0.003533689490035116,0.028424965870987952,1.6419341630591666,0.04822106022586596,3.6203652572054428,0.8339223595447719,43.222079,32.54557395377198
IMSLP66421-PMLP01489-Sonata_in_C_minor_Opus_111,5,ks,-0.0015550903035460618,0.018783900341173998,4.417881143016657,0.07001435327593558,2.903529975137549,1.38555172698447,43.802348,33.76885839839273
IMSLP66421-PMLP01489-Sonata_in_C_minor_Opus_111,5,m,0.05827238361398521,0.03424141891017478,1.0363324209450033,0.011379437957599124,1.3617010005852708,1.9515935284862347,45.511639,97.06318446206761
IMSLP66421-PMLP01489-Sonata_in_C_minor_Opus_111,6,ks,-0.002530868865693591,0.05496825645255674,2.138894638879712,0.07091965411370404,2.724350468895964,1.2100069161668616,43.351022,32.615925838508595
