doc,page,fn,nu,a0,a,b0,b,k,time,fun
IMSLP90564-PMLP01446-Beethoven__Lv__Piano_Sonata_No.1__Op.2_No.1__Moscheles,0,ks,,,,,,,,
IMSLP90564-PMLP01446-Beethoven__Lv__Piano_Sonata_No.1__Op.2_No.1__Moscheles,0,m,,,,,,,,
IMSLP90564-PMLP01446-Beethoven__Lv__Piano_Sonata_No.1__Op.2_No.1__Moscheles,1,ks,,,,,,,,
IMSLP90564-PMLP01446-Beethoven__Lv__Piano_Sonata_No.1__Op.2_No.1__Moscheles,1,m,,,,,,,,
IMSLP90564-PMLP01446-Beethoven__Lv__Piano_Sonata_No.1__Op.2_No.1__Moscheles,2,ks,,,,,,,,
IMSLP90564-PMLP01446-Beethoven__Lv__Piano_Sonata_No.1__Op.2_No.1__Moscheles,2,m,,,,,,,,
IMSLP90564-PMLP01446-Beethoven__Lv__Piano_Sonata_No.1__Op.2_No.1__Moscheles,3,ks,,,,,,,,
IMSLP90564-PMLP01446-Beethoven__Lv__Piano_Sonata_No.1__Op.2_No.1__Moscheles,3,m,,,,,,,,
IMSLP90564-PMLP01446-Beethoven__Lv__Piano_Sonata_No.1__Op.2_No.1__Moscheles,4,ks,0.10302176601708277,0.07090117278048882,2.66170358275492,0.09508563664309919,3.0546050164390905,0.9144309438108085,44.825715,90.54077124246535
IMSLP90564-PMLP01446-Beethoven__Lv__Piano_Sonata_No.1__Op.2_No.1__Moscheles,4,m,0.00013404049520445924,0.08202188864851073,3.068453192878362,0.09204635296505875,3.108210229819411,1.3792814738614938,42.706148,50.502204584669144
IMSLP90564-PMLP01446-Beethoven__Lv__Piano_Sonata_No.1__Op.2_No.1__Moscheles,5,ks,,,,,,,,
IMSLP90564-PMLP01446-Beethoven__Lv__Piano_Sonata_No.1__Op.2_No.1__Moscheles,5,m,,,,,,,,
IMSLP90564-PMLP01446-Beethoven__Lv__Piano_Sonata_No.1__Op.2_No.1__Moscheles,6,ks,,,,,,,,
IMSLP90564-PMLP01446-Beethoven__Lv__Piano_Sonata_No.1__Op.2_No.1__Moscheles,6,m,,,,,,,,
IMSLP90564-PMLP01446-Beethoven__Lv__Piano_Sonata_No.1__Op.2_No.1__Moscheles,7,ks,,,,,,,,
IMSLP90564-PMLP01446-Beethoven__Lv__Piano_Sonata_No.1__Op.2_No.1__Moscheles,7,m,,,,,,,,
IMSLP90564-PMLP01446-Beethoven__Lv__Piano_Sonata_No.1__Op.2_No.1__Moscheles,8,ks,0.00022589089567331272,0.019141844209614955,0.8736480995270959,0.05101683947545821,3.3154726895201287,0.10751413663280485,42.58565,12.56278274891788
IMSLP90564-PMLP01446-Beethoven__Lv__Piano_Sonata_No.1__Op.2_No.1__Moscheles,8,m,-0.01817001874341921,0.0828399994465267,1.2894523662090274,0.029656937244311017,2.2475160061830355,1.4311126461300283,42.827482,33.097692819030804
IMSLP90564-PMLP01446-Beethoven__Lv__Piano_Sonata_No.1__Op.2_No.1__Moscheles,9,ks,,,,,,,,
IMSLP90564-PMLP01446-Beethoven__Lv__Piano_Sonata_No.1__Op.2_No.1__Moscheles,9,m,,,,,,,,
IMSLP90564-PMLP01446-Beethoven__Lv__Piano_Sonata_No.1__Op.2_No.1__Moscheles,10,ks,-0.009122509719235901,0.12244732110106418,2.4049679282591225,0.07324411482642926,3.7175869121510132,-0.03919222152556523,44.243064,12.163621666567211
IMSLP90564-PMLP01446-Beethoven__Lv__Piano_Sonata_No.1__Op.2_No.1__Moscheles,10,m,-0.009638877040734541,0.09194182435813625,1.0961786434600072,0.04586177195436057,4.9256115841008,0.35715637741631134,42.388801,12.159977735277408
IMSLP90564-PMLP01446-Beethoven__Lv__Piano_Sonata_No.1__Op.2_No.1__Moscheles,11,ks,-0.017613040870891477,0.06465113180997387,2.1264795390196136,0.08162453009175906,1.2418663071239044,0.6963009977277664,43.166404,56.09581284412078
IMSLP90564-PMLP01446-Beethoven__Lv__Piano_Sonata_No.1__Op.2_No.1__Moscheles,11,m,0.0008918758640359126,0.07459196509045532,0.688659458398581,0.044458017840249706,0.9040174375911474,1.4707189132555607,43.21983,56.52502730167823
IMSLP90564-PMLP01446-Beethoven__Lv__Piano_Sonata_No.1__Op.2_No.1__Moscheles,12,ks,-0.014427549502230214,0.09073427525892175,1.9694402991597706,0.07522670947794344,1.9225706505610876,2.047681622247977,42.196963,44.79744685283967
IMSLP90564-PMLP01446-Beethoven__Lv__Piano_Sonata_No.1__Op.2_No.1__Moscheles,12,m,-0.006725638808337668,0.02496186692661062,2.1499685859576445,0.06684826491762567,4.6563198433682285,0.7707568998031438,44.718313,32.984397015551295
IMSLP90564-PMLP01446-Beethoven__Lv__Piano_Sonata_No.1__Op.2_No.1__Moscheles,13,ks,-0.01141530431278033,0.05253621967484343,4.471814970097347,0.06962800945346889,3.567387029890201,1.4097892697581758,44.804782,57.12228677541781
IMSLP90564-PMLP01446-Beethoven__Lv__Piano_Sonata_No.1__Op.2_No.1__Moscheles,13,m,-0.0038169328415626775,0.08862481948536108,3.9892772817059576,0.06401151348145144,1.3839977409292294,0.09738954915092227,43.900533,48.09137285684701
