doc,page,fn,nu,a0,a,b0,b,k,time,fun
IMSLP91285-PMLP01446-Beethoven_Bouillet_Sonate_n__1_avec_2e_piano,0,ks,,,,,,,,
IMSLP91285-PMLP01446-Beethoven_Bouillet_Sonate_n__1_avec_2e_piano,0,m,,,,,,,,
IMSLP91285-PMLP01446-Beethoven_Bouillet_Sonate_n__1_avec_2e_piano,1,ks,,,,,,,,
IMSLP91285-PMLP01446-Beethoven_Bouillet_Sonate_n__1_avec_2e_piano,1,m,,,,,,,,
IMSLP91285-PMLP01446-Beethoven_Bouillet_Sonate_n__1_avec_2e_piano,2,ks,,,,,,,,
IMSLP91285-PMLP01446-Beethoven_Bouillet_Sonate_n__1_avec_2e_piano,2,m,,,,,,,,
IMSLP91285-PMLP01446-Beethoven_Bouillet_Sonate_n__1_avec_2e_piano,3,ks,,,,,,,,
IMSLP91285-PMLP01446-Beethoven_Bouillet_Sonate_n__1_avec_2e_piano,3,m,,,,,,,,
IMSLP91285-PMLP01446-Beethoven_Bouillet_Sonate_n__1_avec_2e_piano,4,ks,,,,,,,,
IMSLP91285-PMLP01446-Beethoven_Bouillet_Sonate_n__1_avec_2e_piano,4,m,,,,,,,,
IMSLP91285-PMLP01446-Beethoven_Bouillet_Sonate_n__1_avec_2e_piano,5,ks,,,,,,,,
IMSLP91285-PMLP01446-Beethoven_Bouillet_Sonate_n__1_avec_2e_piano,5,m,,,,,,,,
IMSLP91285-PMLP01446-Beethoven_Bouillet_Sonate_n__1_avec_2e_piano,6,ks,,,,,,,,
IMSLP91285-PMLP01446-Beethoven_Bouillet_Sonate_n__1_avec_2e_piano,6,m,,,,,,,,
IMSLP91285-PMLP01446-Beethoven_Bouillet_Sonate_n__1_avec_2e_piano,7,ks,,,,,,,,
IMSLP91285-PMLP01446-Beethoven_Bouillet_Sonate_n__1_avec_2e_piano,7,m,,,,,,,,
IMSLP91285-PMLP01446-Beethoven_Bouillet_Sonate_n__1_avec_2e_piano,8,ks,,,,,,,,
IMSLP91285-PMLP01446-Beethoven_Bouillet_Sonate_n__1_avec_2e_piano,8,m,,,,,,,,
IMSLP91285-PMLP01446-Beethoven_Bouillet_Sonate_n__1_avec_2e_piano,9,ks,,,,,,,,
IMSLP91285-PMLP01446-Beethoven_Bouillet_Sonate_n__1_avec_2e_piano,9,m,,,,,,,,
IMSLP91285-PMLP01446-Beethoven_Bouillet_Sonate_n__1_avec_2e_piano,10,ks,,,,,,,,
IMSLP91285-PMLP01446-Beethoven_Bouillet_Sonate_n__1_avec_2e_piano,10,m,,,,,,,,
IMSLP91285-PMLP01446-Beethoven_Bouillet_Sonate_n__1_avec_2e_piano,11,ks,,,,,,,,
IMSLP91285-PMLP01446-Beethoven_Bouillet_Sonate_n__1_avec_2e_piano,11,m,,,,,,,,
IMSLP91285-PMLP01446-Beethoven_Bouillet_Sonate_n__1_avec_2e_piano,12,ks,,,,,,,,
IMSLP91285-PMLP01446-Beethoven_Bouillet_Sonate_n__1_avec_2e_piano,12,m,,,,,,,,
IMSLP91285-PMLP01446-Beethoven_Bouillet_Sonate_n__1_avec_2e_piano,13,ks,,,,,,,,
IMSLP91285-PMLP01446-Beethoven_Bouillet_Sonate_n__1_avec_2e_piano,13,m,,,,,,,,
